Date,Close,Volume,Open,High,Low
2015-01-20,43.16,16090430.0,42.7,43.33,42.61
2015-01-21,43.36,10642350.0,42.89,43.43,42.76
2015-01-22,43.78,14709110.0,43.37,43.83,43.07
2015-01-23,43.31,12349930.0,43.6,43.75,43.18
2015-01-26,43.0,11151770.0,43.18,43.23,42.83
2015-01-27,42.39,15273910.0,42.54,42.64,42.15
2015-01-28,41.92,14248850.0,42.59,42.8,41.9
2015-01-29,42.1,13639000.0,41.77,42.15,41.47
2015-01-30,41.17,19170300.0,41.83,41.93,41.11
2015-02-02,41.59,15186990.0,41.21,41.63,40.9
2015-02-03,41.63,13166400.0,41.75,41.85,41.37
2015-02-04,41.68,16399460.0,41.77,42.09,41.62
2015-02-05,41.79,11054370.0,41.8,41.82,41.51
2015-02-06,41.45,12338670.0,41.63,41.76,41.32
2015-02-09,41.23,13359760.0,41.38,41.45,41.04
2015-02-10,42.4,31839220.0,42.91,43.03,42.2
2015-02-11,42.37,20445900.0,42.1,42.49,41.7
2015-02-12,42.17,13815680.0,42.4,42.66,42.07
2015-02-13,41.99,10779180.0,42.02,42.23,41.76
2015-02-17,41.81,12794220.0,41.81,41.88,41.64
2015-02-18,41.73,9789665.0,41.75,41.8,41.47
2015-02-19,42.11,16570990.0,41.68,42.24,41.53
2015-02-20,41.97,15981880.0,42.04,42.11,41.64
2015-02-23,41.85,11830340.0,41.71,42.17,41.69
2015-02-24,42.13,12782660.0,41.85,42.33,41.77
2015-02-25,42.05,10235710.0,42.17,42.24,41.74
2015-02-26,42.46,14344290.0,42.04,42.55,41.97
2015-02-27,43.3,28248540.0,42.52,43.66,42.47
2015-03-02,43.2,13505790.0,43.12,43.28,43.08
2015-03-03,42.95,10028210.0,43.11,43.16,42.84
2015-03-04,42.5,16251690.0,42.92,42.98,42.47
2015-03-05,42.4,9209212.0,42.56,42.61,42.25
2015-03-06,41.52,18180300.0,42.12,42.2,41.33
2015-03-09,41.39,10120810.0,41.53,41.55,41.32
2015-03-10,40.69,14595880.0,41.1,41.15,40.68
2015-03-11,40.1,18533940.0,40.73,40.73,40.08
2015-03-12,40.57,17727370.0,40.1,40.57,40.02
2015-03-13,39.91,17368250.0,40.44,40.57,39.61
2015-03-16,40.29,15223290.0,40.0,40.35,39.99
2015-03-17,40.51,21661600.0,40.67,40.73,40.32
2015-03-18,40.6,26203370.0,40.48,40.79,39.8
2015-03-19,40.02,16013260.0,40.48,40.52,39.96
2015-03-20,40.65,31568330.0,40.07,40.66,40.01
2015-03-23,40.62,17035420.0,40.64,40.94,40.5
2015-03-24,40.47,13448910.0,40.91,40.99,40.47
2015-03-25,40.45,22810970.0,40.59,40.7,40.24
2015-03-26,40.35,17341290.0,40.34,40.56,40.23
2015-03-27,40.08,14375710.0,40.48,40.48,39.97
2015-03-30,40.51,12545500.0,40.11,40.61,39.94
2015-03-31,40.55,16604180.0,40.51,40.9,40.35
2015-04-01,40.68,14271040.0,40.79,40.81,40.23
2015-04-02,40.68,14342900.0,40.73,40.87,40.48
2015-04-06,41.17,19794470.0,40.77,41.61,40.59
2015-04-07,41.01,9762521.0,41.05,41.37,40.97
2015-04-08,40.89,8946927.0,40.98,41.09,40.74
2015-04-09,41.05,12710410.0,40.8,41.08,40.63
2015-04-10,40.88,8704377.0,41.09,41.16,40.85
2015-04-13,40.7,9605631.0,40.97,40.97,40.7
2015-04-14,40.51,11196260.0,40.59,40.65,40.32
2015-04-15,40.4,11169120.0,40.59,40.81,40.32
2015-04-16,40.6,13111490.0,40.41,40.86,40.3
2015-04-17,40.3,15227590.0,40.47,40.66,40.1
2015-04-20,40.66,13023840.0,40.42,40.9,40.41
2015-04-21,40.78,19603810.0,40.67,40.99,40.54
2015-04-22,41.31,26885290.0,41.56,41.57,41.07
2015-04-23,40.95,17389650.0,41.23,41.41,40.92
2015-04-24,40.89,11623170.0,41.04,41.12,40.81
2015-04-27,40.83,10012950.0,41.0,41.15,40.78
2015-04-28,40.77,12136490.0,40.95,40.97,40.6
2015-04-29,40.49,11369770.0,40.66,40.75,40.4
2015-04-30,40.56,12699420.0,40.4,40.58,40.28
2015-05-01,40.91,10809610.0,40.58,40.93,40.5
2015-05-04,40.96,10175190.0,40.88,41.1,40.77
2015-05-05,40.75,11721250.0,41.14,41.14,40.68
2015-05-06,40.66,11905040.0,41.04,41.09,40.39
2015-05-07,40.7,13834290.0,40.53,40.91,40.51
2015-05-08,40.98,11144430.0,41.0,41.17,40.85
2015-05-11,40.94,10113180.0,40.98,41.39,40.88
2015-05-12,40.69,12357330.0,40.77,40.96,40.52
2015-05-13,41.05,13183220.0,40.75,41.36,40.72
2015-05-14,41.5,9960962.0,41.3,41.6,41.25
