Date,Close,Volume,Open,High,Low
2015-01-20,191.93,4490681,193.87,194.12,187.04
2015-01-21,196.57,4144121,189.55,198.68,189.51
2015-01-22,201.62,4103753,197.0,203.24,195.2
2015-01-23,201.29,3441052,200.29,203.5,198.33
2015-01-26,206.55,3231121,201.83,208.62,201.05
2015-01-27,205.98,2777926,204.42,208.03,203.3
2015-01-28,199.37,3139481,206.11,206.37,198.42
2015-01-29,205.2,3542577,201.07,205.98,196.5
2015-01-30,203.6,3001268,203.96,207.47,203.0
2015-02-02,210.94,4143850,203.97,211.95,203.3
2015-02-03,218.36,4815834,213.22,220.37,211.27
2015-02-04,218.55,3304417,218.29,221.48,216.8
2015-02-05,220.99,3518316,219.88,225.48,219.64
2015-02-06,217.36,3235856,222.0,223.4,216.5
2015-02-09,217.48,3469776,215.38,217.93,211.99
2015-02-10,216.29,5348862,217.55,220.5,215.0
2015-02-11,212.8,9053083,212.21,214.74,207.28
2015-02-12,202.88,15626830,193.57,203.09,193.28
2015-02-13,203.77,6148207,202.9,205.99,200.91
2015-02-17,204.35,3964555,205.7,205.7,201.5
2015-02-18,204.46,2710898,204.17,206.17,202.6
2015-02-19,211.71,5137203,205.0,212.44,203.75
2015-02-20,217.11,5978376,210.78,217.6,209.81
2015-02-23,207.34,8487131,215.66,218.2,206.33
2015-02-24,204.11,6587298,207.29,207.29,201.7
2015-02-25,203.76,3907505,204.94,207.14,202.58
2015-02-26,207.19,6468020,204.0,211.09,202.22
2015-02-27,203.34,3871397,206.9,208.55,202.8
2015-03-02,197.33,7910402,202.7,203.34,195.83
2015-03-03,199.56,4430800,196.81,200.24,195.32
2015-03-04,202.44,4215255,199.25,202.52,197.21
2015-03-05,200.63,4870131,202.85,206.19,200.15
2015-03-06,193.88,6705451,199.21,200.75,192.15
2015-03-09,190.88,6732511,194.39,194.49,188.25
2015-03-10,190.32,5539041,188.46,193.5,187.6
2015-03-11,193.74,4968406,191.15,196.18,191.01
2015-03-12,191.07,4139769,193.75,194.45,189.75
2015-03-13,188.68,5421293,188.95,191.75,187.32
2015-03-16,195.7,5617028,192.0,195.91,189.8
2015-03-17,194.73,4890265,195.43,198.71,193.94
2015-03-18,200.71,4796873,194.96,200.88,193.11
2015-03-19,195.65,8468846,202.0,204.59,194.53
2015-03-20,198.08,4250076,197.45,198.99,195.62
2015-03-23,199.63,2622492,198.5,200.5,197.47
2015-03-24,201.72,3640866,201.58,203.79,199.75
2015-03-25,194.3,5721582,198.27,198.59,192.7
2015-03-26,190.41,4120184,193.92,194.79,189.7
2015-03-27,185.0,8596563,189.07,189.29,181.4
2015-03-30,190.57,10062310,185.85,192.25,181.8
2015-03-31,188.77,5017950,193.53,193.76,188.41
2015-04-01,187.59,3791479,188.7,192.3,186.05
